timestamp(ms),RAW,
"1714597368.986","23",
"1714597368.988","22",
"1714597368.99","22",
"1714597368.992","22",
"1714597368.996","22",
"1714597368.998","22",
"1714597369","22",
"1714597369.004","22",
"1714597369.006","21",
"1714597369.008","22",
"1714597369.01","22",
"1714597369.014","22",
"1714597369.016","22",
"1714597369.018","22",
"1714597369.02","22",
"1714597369.024","21",
"1714597369.026","21",
"1714597369.028","21",
"1714597369.032","21",
"1714597369.034","20",
"1714597369.036","20",
"1714597369.038","20",
"1714597369.042","20",
"1714597369.044","20",
"1714597369.046","20",
"1714597369.052","20",
"1714597369.054","19",
"1714597369.056","20",
"1714597369.06","19",
"1714597369.062","19",
"1714597369.064","20",
"1714597369.066","20",
"1714597369.07","20",
"1714597369.072","19",
"1714597369.074","18",
"1714597369.08","17",
"1714597369.082","17",
"1714597369.084","16",
"1714597369.088","16",
"1714597369.09","16",
"1714597369.092","15",
"1714597369.094","15",
"1714597369.098","15",
"1714597369.1","14",
"1714597369.102","14",
"1714597369.108","14",
"1714597369.109","13",
"1714597369.11","13",
"1714597369.112","13",
"1714597369.116","13",
"1714597369.117","12",
"1714597369.118","12",
"1714597369.12","12",
"1714597369.122","12",
"1714597369.126","11",
"1714597369.128","12",
"1714597369.13","11",
"1714597369.134","11",
"1714597369.136","11",
"1714597369.138","11",
"1714597369.141","11",
"1714597369.144","11",
"1714597369.145","11",
"1714597369.147","11",
"1714597369.149","11",
"1714597369.151","10",
"1714597369.154","11",
"1714597369.155","10",
"1714597369.156","10",
"1714597369.158","9",
"1714597369.161","9",
"1714597369.186","8",
"1714597369.187","7",
"1714597369.189","7",
"1714597369.191","6",
"1714597369.193","6",
"1714597369.196","6",
"1714597369.197","6",
"1714597369.199","5",
"1714597369.201","5",
"1714597369.203","5",
"1714597369.205","5",
"1714597369.207","5",
"1714597369.209","4",
"1714597369.211","4",
"1714597369.213","4",
"1714597369.215","4",
"1714597369.217","4",
"1714597369.219","4",
"1714597369.221","4",
"1714597369.223","4",
"1714597369.225","4",
"1714597369.227","3",
"1714597369.229","3",
"1714597369.231","3",
"1714597369.233","3",
"1714597369.235","3",
"1714597369.237","3",
"1714597369.239","3",
"1714597369.241","3",
"1714597369.243","3",
"1714597369.245","3",
"1714597369.247","3",
"1714597369.249","3",
"1714597369.251","3",
"1714597369.253","3",
"1714597369.255","2",
"1714597369.257","3",
"1714597369.259","2",
"1714597369.261","3",
"1714597369.263","3",
"1714597369.265","2",
"1714597369.267","2",
"1714597369.269","2",
"1714597369.271","2",
"1714597369.273","2",
"1714597369.275","2",
"1714597369.277","2",
"1714597369.28","2",
"1714597369.281","2",
"1714597369.283","2",
"1714597369.285","2",
"1714597369.287","2",
"1714597369.289","2",
"1714597369.291","2",
"1714597369.293","2",
"1714597369.295","2",
"1714597369.297","2",
"1714597369.299","2",
"1714597369.301","2",
"1714597369.303","2",
"1714597369.305","2",
"1714597369.307","2",
"1714597369.309","2",
"1714597369.311","2",
"1714597369.313","2",
"1714597369.315","2",
"1714597369.317","2",
"1714597369.319","2",
"1714597369.321","2",
"1714597369.323","2",
"1714597369.325","2",
"1714597369.328","2",
"1714597369.329","2",
"1714597369.331","2",
"1714597369.334","2",
"1714597369.335","2",
"1714597369.337","1",
"1714597369.339","2",
"1714597369.341","1",
"1714597369.344","1",
"1714597369.345","2",
"1714597369.348","2",
"1714597369.349","2",
"1714597369.351","2",
"1714597369.353","2",
"1714597369.355","2",
"1714597369.357","2",
"1714597369.36","1",
"1714597369.362","2",
"1714597369.363","1",
"1714597369.365","1",
"1714597369.367","1",
"1714597369.37","1",
"1714597369.372","1",
"1714597369.373","1",
"1714597369.376","2",
"1714597369.378","2",
"1714597369.38","1",
"1714597369.382","1",
"1714597369.384","1",
"1714597369.386","2",
"1714597369.388","1",
"1714597369.39","2",
"1714597369.392","1",
"1714597369.394","1",
"1714597369.396","1",
"1714597369.398","1",
"1714597369.4","1",
"1714597369.402","1",
"1714597369.404","2",
"1714597369.406","1",
"1714597369.408","1",
"1714597369.41","1",
"1714597369.412","1",
"1714597369.414","1",
"1714597369.416","1",
"1714597369.418","2",
"1714597369.42","1",
"1714597369.422","1",
"1714597369.424","1",
"1714597369.426","1",
"1714597369.428","1",
"1714597369.43","1",
"1714597369.432","2",
"1714597369.434","1",
"1714597369.436","1",
"1714597369.438","1",
"1714597369.44","1",
"1714597369.442","1",
"1714597369.444","1",
"1714597369.446","2",
"1714597369.448","2",
"1714597369.45","2",
"1714597369.452","1",
"1714597369.454","1",
"1714597369.456","1",
"1714597369.458","1",
"1714597369.46","2",
"1714597369.462","1",
"1714597369.464","1",
"1714597369.466","1",
"1714597369.468","1",
"1714597369.47","1",
"1714597369.472","1",
"1714597369.474","2",
"1714597369.476","1",
"1714597369.478","1",
"1714597369.48","1",
"1714597369.482","1",
"1714597369.484","1",
"1714597369.486","1",
"1714597369.488","1",
"1714597369.49","1",
"1714597369.492","1",
"1714597369.494","1",
"1714597369.496","1",
"1714597369.498","1",
"1714597369.5","1",
"1714597369.502","1",
"1714597369.504","1",
"1714597369.506","1",
"1714597369.508","1",
"1714597369.51","1",
"1714597369.512","1",
"1714597369.514","1",
"1714597369.516","1",
"1714597369.518","1",
"1714597369.52","1",
"1714597369.522","1",
"1714597369.524","1",
"1714597369.526","1",
"1714597369.528","1",
"1714597369.53","1",
"1714597369.532","1",
"1714597369.534","1",
"1714597369.536","1",
"1714597369.538","1",
"1714597369.541","1",
"1714597369.542","1",
"1714597369.544","2",
"1714597369.546","1",
"1714597369.549","1",
"1714597369.55","1",
"1714597369.552","1",
"1714597369.554","1",
"1714597369.556","1",
"1714597369.559","1",
"1714597369.56","1",
"1714597369.563","1",
"1714597369.565","1",
"1714597369.567","1",
"1714597369.569","1",
"1714597369.57","1",
"1714597369.573","1",
"1714597369.575","1",
"1714597369.577","1",
"1714597369.579","1",
"1714597369.581","1",
"1714597369.583","2",
"1714597369.585","1",
"1714597369.587","2",
"1714597369.589","1",
"1714597369.591","1",
"1714597369.593","1",
"1714597369.595","2",
"1714597369.597","1",
"1714597369.599","2",
"1714597369.601","1",
"1714597369.603","1",
"1714597369.605","1",
"1714597369.607","1",
"1714597369.609","1",
"1714597369.611","2",
"1714597369.613","1",
"1714597369.615","2",
"1714597369.617","1",
"1714597369.619","1",
"1714597369.621","1",
"1714597369.623","1",
"1714597369.625","2",
"1714597369.627","2",
"1714597369.629","2",
"1714597369.631","1",
"1714597369.633","2",
"1714597369.635","2",
"1714597369.637","2",
"1714597369.639","2",
"1714597369.641","2",
"1714597369.643","2",
"1714597369.645","2",
"1714597369.647","1",
"1714597369.649","2",
"1714597369.651","2",
"1714597369.653","2",
"1714597369.655","2",
"1714597369.657","2",
"1714597369.659","1",
"1714597369.661","2",
"1714597369.663","1",
"1714597369.665","1",
"1714597369.667","2",
"1714597369.669","2",
"1714597369.671","2",
"1714597369.673","2",
"1714597369.675","1",
"1714597369.677","2",
"1714597369.679","2",
"1714597369.681","2",
"1714597369.683","2",
"1714597369.685","1",
"1714597369.687","1",
"1714597369.689","2",
"1714597369.691","1",
"1714597369.693","2",
"1714597369.695","2",
"1714597369.697","2",
"1714597369.7","2",
"1714597369.701","2",
"1714597369.703","2",
"1714597369.705","1",
"1714597369.707","2",
"1714597369.709","2",
"1714597369.711","2",
"1714597369.713","2",
"1714597369.715","1",
"1714597369.718","2",
"1714597369.719","2",
"1714597369.721","2",
"1714597369.723","2",
"1714597369.725","2",
"1714597369.728","2",
"1714597369.729","2",
"1714597369.731","2",
"1714597369.733","1",
"1714597369.736","2",
"1714597369.737","2",
"1714597369.739","2",
"1714597369.742","2",
"1714597369.744","1",
"1714597369.746","2",
"1714597369.747","2",
"1714597369.75","2",
"1714597369.752","2",
"1714597369.754","2",
"1714597369.755","2",
"1714597369.758","2",
"1714597369.76","1",
"1714597369.762","2",
"1714597369.764","2",
"1714597369.766","2",
"1714597369.768","2",
"1714597369.77","2",
"1714597369.772","1",
"1714597369.774","2",
"1714597369.776","2",
"1714597369.778","2",
"1714597369.78","2",
"1714597369.782","2",
"1714597369.784","2",
"1714597369.786","2",
"1714597369.788","2",
"1714597369.79","2",
"1714597369.792","2",
"1714597369.794","2",
"1714597369.796","2",
"1714597369.798","2",
"1714597369.8","1",
"1714597369.802","2",
"1714597369.804","2",
"1714597369.806","2",
"1714597369.808","2",
"1714597369.81","2",
"1714597369.812","2",
"1714597369.814","2",
"1714597369.816","2",
"1714597369.818","2",
"1714597369.82","2",
"1714597369.822","2",
"1714597369.824","2",
"1714597369.826","2",
"1714597369.828","2",
"1714597369.83","2",
"1714597369.832","2",
"1714597369.834","2",
"1714597369.836","2",
"1714597369.838","2",
"1714597369.84","2",
"1714597369.842","2",
"1714597369.844","2",
"1714597369.846","2",
"1714597369.848","2",
"1714597369.85","2",
"1714597369.852","2",
"1714597369.854","2",
"1714597369.856","2",
"1714597369.858","2",
"1714597369.86","2",
"1714597369.862","2",
"1714597369.864","2",
"1714597369.866","2",
"1714597369.868","2",
"1714597369.87","2",
"1714597369.872","2",
"1714597369.874","2",
"1714597369.876","2",
"1714597369.878","2",
"1714597369.88","2",
"1714597369.882","2",
"1714597369.884","2",
"1714597369.886","2",
"1714597369.888","2",
"1714597369.89","2",
"1714597369.892","2",
"1714597369.894","2",
"1714597369.896","2",
"1714597369.899","2",
"1714597369.9","2",
"1714597369.902","2",
"1714597369.905","2",
"1714597369.906","2",
"1714597369.908","2",
"1714597369.91","2",
"1714597369.913","2",
"1714597369.914","2",
"1714597369.916","2",
"1714597369.918","2",
"1714597369.921","2",
"1714597369.922","2",
"1714597369.924","2",
"1714597369.926","2",
"1714597369.928","2",
"1714597369.931","2",
"1714597369.933","2",
"1714597369.934","2",
"1714597369.937","2",
"1714597369.938","2",
"1714597369.941","2",
"1714597369.943","2",
"1714597369.945","2",
"1714597369.947","2",
"1714597369.949","2",
"1714597369.951","2",
"1714597369.953","2",
"1714597369.955","2",
"1714597369.957","2",
"1714597369.959","2",
"1714597369.961","2",
"1714597369.963","2",
"1714597369.965","2",
"1714597369.967","2",
"1714597369.969","2",
"1714597369.971","2",
"1714597369.973","2",
"1714597369.975","2",
"1714597369.977","2",
"1714597369.979","2",
"1714597369.981","2",
"1714597369.983","2",
"1714597369.985","2",
"1714597369.987","2",
"1714597369.989","2",
"1714597369.991","2",
"1714597369.993","2",
"1714597369.995","2",
"1714597369.997","2",
"1714597369.999","2",
"1714597370.001","2",
"1714597370.003","2",
"1714597370.005","2",
"1714597370.007","2",
"1714597370.009","2",
"1714597370.011","2",
"1714597370.013","2",
"1714597370.015","2",
"1714597370.017","2",
"1714597370.019","2",
